,mouse,study,conc,pre.ret,pre.mn.ret,pre.prop.mn.ret,post.ret,post.mn.ret,post.prop.mn.ret,bm.ret,bm.mn.ret,prop.bm.mn.ret
JEF_4,JEF_4,1,0,19959,41,0.00205,19953,47,0.00235,19961,39,0.00195
JEF_11,JEF_11,1,0,19952,48,0.0024,19936,64,0.0032,19854,146,0.0073
JEF_20,JEF_20,1,0,NA,51,NA,19909,91,0.00455,19932,68,0.0034
JEF_25,JEF_25,1,0,19931,69,0.00345,19890,110,0.0055,19912,88,0.0044
JEF_32,JEF_32,1,0,19956,44,0.0022,19950,50,0.0025,19958,42,0.0021
JEF_34,JEF_34,1,0,19978,22,0.0011,19962,38,0.0019,19956,44,0.0022
JEF_38,JEF_38,1,0,20373,39,0.00191064079952969,19964,36,0.0018,19979,21,0.00105
JEF_39,JEF_39,1,0,19921,79,0.00395,19925,75,0.00375,19906,94,0.0047
JEF_42,JEF_42,1,0,19931,69,0.00345,19918,82,0.0041,NA,NA,NA
JEF_50,JEF_50,1,0,19931,69,0.00345,19921,79,0.00395,NA,NA,NA
JEF_58,JEF_58,1,0,19967,32,0.0016000800040002,19936,64,0.0032,19952,48,0.0024
JEF_62,JEF_62,1,0,19959,40,0.00200010000500025,19954,46,0.0023,19946,54,0.0027
JEF_76,JEF_76,1,0,19960,40,0.002,19925,75,0.00375,19966,34,0.0017
JEF_86,JEF_86,1,0,19959,41,0.00205,19947,53,0.00265,19889,111,0.00555
JEF_88,JEF_88,1,0,19959,41,0.00205,19935,65,0.00325,19870,130,0.0065
JEF_89,JEF_89,1,0,19963,37,0.00185,19954,46,0.0023,19949,51,0.00255
JEF_93,JEF_93,1,0,19964,36,0.0018,19953,47,0.00235,19920,80,0.004
JEF_94,JEF_94,1,0,19941,59,0.00295,19820,180,0.009,19036,413,0.0212350249370148
JEF_97,JEF_97,1,0,19951,49,0.00245,19918,82,0.0041,19893,107,0.00535
JEF_98,JEF_98,1,0,19924,76,0.0038,19925,75,0.00375,19904,96,0.0048
JEF_99,JEF_99,1,0,19959,41,0.00205,19898,102,0.0051,19926,74,0.0037
JEF_111,JEF_111,1,0,19955,45,0.00225,19949,51,0.00255,19931,69,0.00345
JEF_115,JEF_115,1,0,19906,94,0.0047,19913,87,0.00435,19901,99,0.00495
JEF_120,JEF_120,1,0,19952,48,0.0024,19919,81,0.00405,19943,57,0.00285
JEF_125,JEF_125,1,0,19904,96,0.0048,19942,58,0.0029,19980,20,0.001
JEF_127,JEF_127,1,0,19977,23,0.00115,19945,55,0.00275,19932,68,0.0034
JEF_131,JEF_131,1,0,19947,53,0.00265,19929,71,0.00355,19928,72,0.0036
JEF_139,JEF_139,1,0,19955,45,0.00225,19950,50,0.0025,19936,64,0.0032
JEF_140,JEF_140,1,0,19963,37,0.00185,19957,43,0.00215,19868,132,0.0066
JEF_144,JEF_144,1,0,19975,25,0.00125,19957,43,0.00215,19937,63,0.00315
JEF_154,JEF_154,1,0,19955,45,0.00225,19966,34,0.0017,19923,77,0.00385
JEF_157,JEF_157,1,0,19966,34,0.0017,19962,38,0.0019,19975,25,0.00125
JEF_165,JEF_165,1,0,19957,43,0.00215,19945,55,0.00275,19912,88,0.0044
JEF_170,JEF_170,1,0,19962,38,0.0019,19938,62,0.0031,19880,120,0.006
JEF_177,JEF_177,1,0,19956,44,0.0022,19937,63,0.00315,19895,105,0.00525
JEF_182,JEF_182,1,0,19976,24,0.0012,19944,56,0.0028,19965,35,0.00175
JEF_188,JEF_188,1,0,19950,50,0.0025,19959,40,0.00200010000500025,19950,50,0.0025
JEF_192,JEF_192,1,0,19938,62,0.0031,19925,75,0.00375,19893,107,0.00535
JEF_194,JEF_194,1,0,19941,59,0.00295,19939,61,0.00305,19940,60,0.003
JEF_206,JEF_206,1,0,19975,25,0.00125,19970,30,0.0015,19976,24,0.0012
JEF_208,JEF_208,1,0,19942,58,0.0029,19898,102,0.0051,19805,195,0.00975
JEF_211,JEF_211,1,0,19954,46,0.0023,19925,75,0.00375,19959,41,0.00205
JEF_212,JEF_212,1,0,19963,37,0.00185,19943,57,0.00285,19936,64,0.0032
JEF_217,JEF_217,1,0,19959,41,0.00205,19957,43,0.00215,19929,71,0.00355
JEF_218,JEF_218,1,0,19979,21,0.00105,19953,47,0.00235,NA,NA,NA
JEF_219,JEF_219,1,0,19957,43,0.00215,19961,39,0.00195,19948,52,0.0026
JEF_222,JEF_222,1,0,19940,60,0.003,19927,73,0.00365,19922,78,0.0039
JEF_225,JEF_225,1,0,19964,36,0.0018,19927,73,0.00365,19939,61,0.00305
JEF_228,JEF_228,1,0,19963,37,0.00185,19941,59,0.00295,19918,82,0.0041
JEF_229,JEF_229,1,0,19956,44,0.0022,19940,60,0.003,19961,39,0.00195
JEF_230,JEF_230,1,0,19961,39,0.00195,19944,56,0.0028,19921,79,0.00395
JEF_231,JEF_231,1,0,19976,24,0.0012,19955,45,0.00225,NA,NA,NA
JEF_232,JEF_232,1,0,19982,18,9e-04,19959,41,0.00205,19979,21,0.00105
JEF_249,JEF_249,1,0,19955,45,0.00225,19940,60,0.003,19897,103,0.00515
JEF_255,JEF_255,1,0,19952,48,0.0024,19943,57,0.00285,19965,35,0.00175
JEF_256,JEF_256,1,0,19954,46,0.0023,19962,38,0.0019,19951,49,0.00245
JEF_258,JEF_258,1,0,19956,44,0.0022,19941,59,0.00295,19913,87,0.00435
JEF_264,JEF_264,1,0,19966,34,0.0017,19957,43,0.00215,19784,216,0.0108
JEF_271,JEF_271,1,0,19943,57,0.00285,19934,66,0.0033,19908,92,0.0046
JEF_272,JEF_272,1,0,19961,39,0.00195,19947,52,0.00260013000650032,19943,57,0.00285
JEF_273,JEF_273,1,0,19953,47,0.00235,19956,44,0.0022,19894,106,0.0053
JEF_275,JEF_275,1,0,19970,30,0.0015,19931,69,0.00345,19935,65,0.00325
JEF_276,JEF_276,1,0,19955,45,0.00225,19942,58,0.0029,19934,66,0.0033
JEF_285,JEF_285,1,0,19966,34,0.0017,19919,81,0.00405,19953,47,0.00235
JEF_286,JEF_286,1,0,19951,49,0.00245,19939,61,0.00305,19919,81,0.00405
JEF_287,JEF_287,1,0,19951,49,0.00245,19957,43,0.00215,19858,142,0.0071
JEF_302,JEF_302,1,0,19964,36,0.0018,19968,32,0.0016,19872,128,0.0064
JEF_304,JEF_304,1,0,19936,64,0.0032,19957,43,0.00215,19900,100,0.005
JEF_312,JEF_312,1,0,19943,57,0.00285,19565,85,0.00432569974554707,19936,64,0.0032
JEF_313,JEF_313,1,0,19963,37,0.00185,19958,42,0.0021,19932,68,0.0034
JEF_316,JEF_316,1,0,19976,24,0.0012,19956,44,0.0022,19914,86,0.0043
JEF_319,JEF_319,1,0,19952,48,0.0024,19929,71,0.00355,19943,57,0.00285
JEF_320,JEF_320,1,0,19953,47,0.00235,19951,49,0.00245,19902,98,0.0049
JEF_328,JEF_328,1,0,19951,49,0.00245,19947,53,0.00265,19956,44,0.0022
JEF_2,JEF_2,1,1,19968,32,0.0016,19965,35,0.00175,19966,34,0.0017
JEF_9,JEF_9,1,1,19953,47,0.00235,19959,41,0.00205,19966,34,0.0017
JEF_10,JEF_10,1,1,19963,37,0.00185,19963,37,0.00185,19942,58,0.0029
JEF_12,JEF_12,1,1,19960,40,0.002,19956,44,0.0022,19911,89,0.00445
JEF_19,JEF_19,1,1,19968,32,0.0016,19945,55,0.00275,19921,79,0.00395
JEF_26,JEF_26,1,1,19972,28,0.0014,19951,49,0.00245,19907,93,0.00465
JEF_29,JEF_29,1,1,19949,51,0.00255,19913,87,0.00435,19960,40,0.002
JEF_30,JEF_30,1,1,19975,25,0.00125,19969,31,0.00155,19954,46,0.0023
JEF_40,JEF_40,1,1,19972,28,0.0014,19961,39,0.00195,19975,25,0.00125
JEF_43,JEF_43,1,1,19928,72,0.0036,19925,75,0.00375,19892,109,0.00544972751362432
JEF_48,JEF_48,1,1,19970,30,0.0015,19946,54,0.0027,19881,119,0.00595
JEF_49,JEF_49,1,1,19925,75,0.00375,19915,85,0.00425,19903,97,0.00485
JEF_59,JEF_59,1,1,19958,42,0.0021,20672,39,0.00188305731253923,19937,63,0.00315
JEF_61,JEF_61,1,1,19948,52,0.0026,19951,49,0.00245,NA,NA,NA
JEF_63,JEF_63,1,1,19950,50,0.0025,19945,55,0.00275,NA,NA,NA
JEF_67,JEF_67,1,1,19945,55,0.00275,19928,72,0.0036,19912,88,0.0044
JEF_70,JEF_70,1,1,19974,26,0.0013,19955,45,0.00225,19945,55,0.00275
JEF_71,JEF_71,1,1,19970,30,0.0015,19952,48,0.0024,19945,55,0.00275
JEF_72,JEF_72,1,1,19959,41,0.00205,19927,73,0.00365,NA,NA,NA
JEF_73,JEF_73,1,1,19928,72,0.0036,19925,75,0.00375,19909,91,0.00455
JEF_74,JEF_74,1,1,19957,43,0.00215,19909,91,0.00455,NA,NA,NA
JEF_75,JEF_75,1,1,19978,22,0.0011,19952,48,0.0024,19930,70,0.0035
JEF_79,JEF_79,1,1,19940,60,0.003,19921,79,0.00395,19003,172,0.00897001303780965
JEF_80,JEF_80,1,1,19873,127,0.00635,19929,71,0.00355,19764,236,0.0118
JEF_81,JEF_81,1,1,19969,31,0.00155,19950,50,0.0025,19945,55,0.00275
JEF_83,JEF_83,1,1,20839,30,0.00143753893334611,19949,51,0.00255,19934,66,0.0033
JEF_85,JEF_85,1,1,19968,32,0.0016,19960,40,0.002,19929,71,0.00355
JEF_95,JEF_95,1,1,19941,59,0.00295,19916,84,0.0042,19941,59,0.00295
JEF_100,JEF_100,1,1,19953,47,0.00235,19916,84,0.0042,19830,170,0.0085
JEF_102,JEF_102,1,1,19940,60,0.003,19925,75,0.00375,19907,93,0.00465
JEF_106,JEF_106,1,1,19942,58,0.0029,19944,56,0.0028,19944,56,0.0028
JEF_108,JEF_108,1,1,19960,40,0.002,19959,41,0.00205,19946,54,0.0027
JEF_110,JEF_110,1,1,19943,57,0.00285,19906,94,0.0047,19917,83,0.00415
JEF_114,JEF_114,1,1,19988,12,6e-04,19977,23,0.00115,19939,61,0.00305
JEF_126,JEF_126,1,1,19956,44,0.0022,19953,47,0.00235,19832,168,0.0084
JEF_128,JEF_128,1,1,19897,103,0.00515,19922,78,0.0039,19946,54,0.0027
JEF_129,JEF_129,1,1,19947,53,0.00265,19910,90,0.0045,NA,NA,NA
JEF_130,JEF_130,1,1,19942,58,0.0029,19853,147,0.00735,NA,NA,NA
JEF_132,JEF_132,1,1,19950,50,0.0025,19964,36,0.0018,19820,180,0.009
JEF_146,JEF_146,1,1,19958,42,0.0021,19953,47,0.00235,19912,88,0.0044
JEF_150,JEF_150,1,1,19953,47,0.00235,19950,50,0.0025,19961,39,0.00195
JEF_158,JEF_158,1,1,19951,49,0.00245,19950,50,0.0025,19882,118,0.0059
JEF_164,JEF_164,1,1,19968,32,0.0016,19959,41,0.00205,19934,67,0.00334983250837458
JEF_167,JEF_167,1,1,19938,62,0.0031,19922,78,0.0039,19885,115,0.00575
JEF_168,JEF_168,1,1,19983,17,0.00085,19963,37,0.00185,19937,63,0.00315
JEF_178,JEF_178,1,1,19974,26,0.0013,19962,38,0.0019,19885,115,0.00575
JEF_179,JEF_179,1,1,19965,35,0.00175,19951,49,0.00245,19871,129,0.00645
JEF_189,JEF_189,1,1,19955,45,0.00225,19925,75,0.00375,19879,121,0.00605
JEF_196,JEF_196,1,1,19955,45,0.00225,19957,43,0.00215,19827,173,0.00865
JEF_198,JEF_198,1,1,19974,26,0.0013,19964,36,0.0018,19939,61,0.00305
JEF_199,JEF_199,1,1,19967,33,0.00165,19941,59,0.00295,19917,83,0.00415
JEF_200,JEF_200,1,1,19953,47,0.00235,19937,63,0.00315,NA,NA,NA
JEF_201,JEF_201,1,1,19985,15,0.00075,19976,24,0.0012,19934,66,0.0033
JEF_207,JEF_207,1,1,19952,48,0.0024,19962,38,0.0019,19926,74,0.0037
JEF_213,JEF_213,1,1,19959,41,0.00205,19964,36,0.0018,19602,400,0.01999800019998
JEF_221,JEF_221,1,1,19961,39,0.00195,19960,40,0.002,19939,61,0.00305
JEF_224,JEF_224,1,1,19964,36,0.0018,19963,37,0.00185,19954,47,0.00234988250587471
JEF_238,JEF_238,1,1,19958,42,0.0021,19922,78,0.0039,19855,145,0.00725
JEF_242,JEF_242,1,1,19965,35,0.00175,19952,48,0.0024,19907,93,0.00465
JEF_243,JEF_243,1,1,19921,79,0.00395,19895,105,0.00525,NA,NA,NA
JEF_246,JEF_246,1,1,19976,24,0.0012,19952,47,0.00235011750587529,19941,59,0.00295
JEF_254,JEF_254,1,1,19955,45,0.00225,19927,73,0.00365,19871,129,0.00645
JEF_274,JEF_274,1,1,19968,32,0.0016,19937,63,0.00315,19841,159,0.00795
JEF_283,JEF_283,1,1,19963,37,0.00185,19940,60,0.003,19909,91,0.00455
JEF_291,JEF_291,1,1,19928,72,0.0036,19938,62,0.0031,19879,121,0.00605
JEF_294,JEF_294,1,1,19946,54,0.0027,19933,67,0.00335,19894,106,0.0053
JEF_297,JEF_297,1,1,19971,29,0.00145,19969,30,0.00150007500375019,19899,101,0.00505
JEF_299,JEF_299,1,1,19931,69,0.00345,19919,81,0.00405,19855,145,0.00725
JEF_300,JEF_300,1,1,19975,25,0.00125,19975,25,0.00125,19884,116,0.0058
JEF_301,JEF_301,1,1,19953,47,0.00235,19939,61,0.00305,19851,150,0.00749962501874906
JEF_303,JEF_303,1,1,19948,52,0.0026,19945,55,0.00275,19909,91,0.00455
JEF_314,JEF_314,1,1,19958,42,0.0021,19937,63,0.00315,19857,143,0.00715
JEF_323,JEF_323,1,1,19971,29,0.00145,19916,84,0.0042,NA,NA,NA
JEF_324,JEF_324,1,1,NA,36,NA,19941,59,0.00295,NA,9,NA
JEF_329,JEF_329,1,1,19956,44,0.0022,19928,72,0.0036,19888,112,0.0056
JEF_1,JEF_1,1,10,19956,44,0.0022,19952,48,0.0024,19917,84,0.00419979001049947
JEF_5,JEF_5,1,10,19935,65,0.00325,19928,72,0.0036,19921,79,0.00395
JEF_8,JEF_8,1,10,19958,42,0.0021,19955,45,0.00225,19862,138,0.0069
JEF_13,JEF_13,1,10,19930,70,0.0035,19835,165,0.00825,19920,80,0.004
JEF_17,JEF_17,1,10,20522,47,0.00228499197821965,19937,63,0.00315,19892,108,0.0054
JEF_22,JEF_22,1,10,19919,81,0.00405,19903,97,0.00485,19833,167,0.00835
JEF_23,JEF_23,1,10,19948,52,0.0026,19944,56,0.0028,19895,105,0.00525
JEF_27,JEF_27,1,10,19944,56,0.0028,19943,57,0.00285,19863,137,0.00685
JEF_28,JEF_28,1,10,19940,60,0.003,19935,65,0.00325,19881,119,0.00595
JEF_33,JEF_33,1,10,19956,44,0.0022,19949,51,0.00255,19868,132,0.0066
JEF_46,JEF_46,1,10,19954,46,0.0023,19961,39,0.00195,19857,143,0.00715
JEF_47,JEF_47,1,10,19964,36,0.0018,19938,62,0.0031,19749,252,0.0125993700314984
JEF_53,JEF_53,1,10,19972,28,0.0014,19974,26,0.0013,19916,84,0.0042
JEF_56,JEF_56,1,10,19957,43,0.00215,19921,79,0.00395,19854,146,0.0073
JEF_64,JEF_64,1,10,19942,58,0.0029,19930,70,0.0035,19816,184,0.0092
JEF_65,JEF_65,1,10,20259,25,0.00123249852100177,19930,70,0.0035,19887,113,0.00565
JEF_66,JEF_66,1,10,19935,65,0.00325,19921,79,0.00395,19903,97,0.00485
JEF_69,JEF_69,1,10,19966,34,0.0017,19943,57,0.00285,19904,96,0.0048
JEF_78,JEF_78,1,10,19931,69,0.00345,19895,105,0.00525,19885,115,0.00575
JEF_82,JEF_82,1,10,19954,46,0.0023,19947,53,0.00265,19852,151,0.00754886766984952
JEF_84,JEF_84,1,10,19946,54,0.0027,19908,92,0.0046,19842,158,0.0079
JEF_90,JEF_90,1,10,19955,45,0.00225,19908,92,0.0046,19886,114,0.0057
JEF_91,JEF_91,1,10,19933,67,0.00335,19908,92,0.0046,19898,102,0.0051
JEF_96,JEF_96,1,10,19962,38,0.0019,19929,71,0.00355,19935,65,0.00325
JEF_101,JEF_101,1,10,19940,60,0.003,19923,77,0.00385,19831,170,0.00849957502124894
JEF_119,JEF_119,1,10,19959,41,0.00205,19935,65,0.00325,19879,121,0.00605
JEF_122,JEF_122,1,10,19964,36,0.0018,19958,42,0.0021,19917,83,0.00415
JEF_123,JEF_123,1,10,19946,54,0.0027,19934,66,0.0033,19798,202,0.0101
JEF_135,JEF_135,1,10,19951,49,0.00245,19954,46,0.0023,19811,189,0.00945
JEF_136,JEF_136,1,10,19951,49,0.00245,19937,63,0.00315,19961,39,0.00195
JEF_137,JEF_137,1,10,19957,43,0.00215,19922,78,0.0039,19893,107,0.00535
JEF_153,JEF_153,1,10,19960,40,0.002,19970,30,0.0015,19899,101,0.00505
JEF_160,JEF_160,1,10,19958,42,0.0021,19922,78,0.0039,19892,108,0.0054
JEF_166,JEF_166,1,10,19955,45,0.00225,19933,67,0.00335,19948,52,0.0026
JEF_173,JEF_173,1,10,19963,37,0.00185,19962,38,0.0019,19822,178,0.0089
JEF_185,JEF_185,1,10,19954,46,0.0023,19942,58,0.0029,19906,94,0.0047
JEF_186,JEF_186,1,10,19950,50,0.0025,19923,77,0.00385,19793,207,0.01035
JEF_187,JEF_187,1,10,19934,66,0.0033,19940,60,0.003,19935,65,0.00325
JEF_195,JEF_195,1,10,19961,39,0.00195,19930,70,0.0035,19871,129,0.00645
JEF_197,JEF_197,1,10,19938,62,0.0031,19796,204,0.0102,19772,228,0.0114
JEF_204,JEF_204,1,10,19965,35,0.00175,19953,47,0.00235,19885,115,0.00575
JEF_205,JEF_205,1,10,19955,45,0.00225,19938,62,0.0031,19875,125,0.00625
JEF_209,JEF_209,1,10,19962,38,0.0019,19947,53,0.00265,19906,94,0.0047
JEF_215,JEF_215,1,10,19967,33,0.00165,19964,36,0.0018,19926,74,0.0037
JEF_216,JEF_216,1,10,19969,31,0.00155,19942,58,0.0029,19909,91,0.00455
JEF_220,JEF_220,1,10,19958,42,0.0021,19949,51,0.00255,19911,89,0.00445
JEF_223,JEF_223,1,10,19958,42,0.0021,19934,66,0.0033,19890,110,0.0055
JEF_227,JEF_227,1,10,19949,51,0.00255,19942,58,0.0029,19854,146,0.0073
JEF_233,JEF_233,1,10,19967,33,0.00165,19965,35,0.00175,19907,93,0.00465
JEF_239,JEF_239,1,10,19977,23,0.00115,19948,52,0.0026,19906,94,0.0047
JEF_240,JEF_240,1,10,20625,21,0.0010171461784365,19940,60,0.003,19912,88,0.0044
JEF_250,JEF_250,1,10,19979,21,0.00105,19903,97,0.00485,19961,39,0.00195
JEF_252,JEF_252,1,10,19976,24,0.0012,19963,37,0.00185,19922,78,0.0039
JEF_260,JEF_260,1,10,19970,30,0.0015,19967,33,0.00165,19888,112,0.0056
